,fdc_id,food,category,portion,modifier,portion_grams
6,167714,"Hearts of palm, raw",Vegetables and Vegetable Products,,,
22,168395,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,,,
55,168428,"Lentils, sprouted, cooked, stir-fried, without salt",Vegetables and Vegetable Products,,,
70,168443,"Potato wedges, frozen (Includes foods for USDA's Food Distribution Program)",Vegetables and Vegetable Products,,,
88,168461,"Soybeans, mature seeds, sprouted, cooked, stir-fried",Vegetables and Vegetable Products,,,
127,168500,"Beans, navy, mature seeds, sprouted, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,,,
136,168509,"Borage, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,,,
178,168551,"Lentils, sprouted, cooked, stir-fried, with salt",Vegetables and Vegetable Products,,,
211,168584,"Fiddlehead ferns, frozen, unprepared",Vegetables and Vegetable Products,,,
224,169140,"Beans, navy, mature seeds, sprouted, cooked, boiled, drained, without salt",Vegetables and Vegetable Products,,,
274,169244,"Lambsquarters, raw",Vegetables and Vegetable Products,,,
330,169300,"Succotash, (corn and limas), raw",Vegetables and Vegetable Products,,,
345,169315,"Beans, kidney, mature seeds, sprouted, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,,,
349,169319,"Beans, pinto, mature seeds, sprouted, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,,,
358,169328,"Broadbeans, immature seeds, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,,,
359,169329,"Broccoli, leaves, raw",Vegetables and Vegetable Products,,,
364,169334,"Butterbur, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,,,
368,169338,"Cardoon, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,,,
388,169358,"Yambean (jicama), cooked, boiled, drained, with salt",Vegetables and Vegetable Products,,,
400,169370,"Soybeans, mature seeds, sprouted, cooked, stir-fried, with salt",Vegetables and Vegetable Products,,,
401,169371,"Dock, cooked, boiled, drained, with salt",Vegetables and Vegetable Products,,,
432,169402,"Mushrooms, white, microwaved",Vegetables and Vegetable Products,,,
434,169404,"Broccoli, chinese, raw",Vegetables and Vegetable Products,,,
435,169405,"Fiddlehead ferns, raw",Vegetables and Vegetable Products,,,
