category,food,score,"Calcium, Ca","Carbohydrate, by difference","Carotene, beta",Cholesterol,"Choline, total",Energy,"Fatty acids, total monounsaturated","Fatty acids, total polyunsaturated","Fatty acids, total saturated","Fiber, total dietary","Folate, total",Histidine,"Iron, Fe",Isoleucine,Leucine,Lysine,"Magnesium, Mg",Methionine,Niacin,PUFA 18:2,PUFA 18:3,Pantothenic acid,Phenylalanine,"Phosphorus, P","Potassium, K",Protein,Riboflavin,"Selenium, Se","Sodium, Na",Thiamin,Threonine,Total lipid (fat),Tryptophan,Valine,"Vitamin A, RAE",Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin K (phylloquinone),"Zinc, Zn"
Beef Products,"Beef, variety meats and by-products, liver, cooked, braised",0.4,0.0,,,1.3,1.1,0.1,,,,0.0,0.7,1.3,0.7,1.0,1.0,1.1,0.1,0.7,0.9,0.0,0.0,1.4,0.9,0.9,0.1,0.5,2.1,0.5,0.0,0.2,1.2,0.0,1.3,1.0,12.6,0.6,0.0,0.0,0.4
Beef Products,"Beef, variety meats and by-products, liver, cooked, pan-fried",0.4,0.0,,,1.3,1.0,0.1,,,,0.0,0.7,1.1,0.7,0.9,0.9,1.0,0.1,0.7,0.9,0.0,0.0,1.4,0.8,0.9,0.1,0.5,2.1,0.5,0.0,0.2,1.1,0.0,1.2,0.9,10.3,0.6,0.0,0.1,0.4
Beef Products,"Beef, variety meats and by-products, liver, raw",0.3,0.0,,,0.9,0.8,0.0,,,,0.0,0.8,0.9,0.5,0.7,0.7,0.8,0.1,0.5,0.7,0.0,0.0,1.4,0.6,0.7,0.1,0.4,1.7,0.6,0.0,0.2,0.8,0.0,0.9,0.7,6.6,0.6,0.0,0.0,0.3
Beef Products,"Beef, New Zealand, imported, variety meats and by-products liver, cooked, boiled",0.3,0.0,,,0.8,,0.1,,,,0.0,,1.2,0.8,0.7,0.6,0.9,0.1,0.7,0.7,0.0,0.0,2.0,0.5,0.7,0.1,0.4,1.9,0.2,0.0,0.3,0.8,0.0,0.9,0.6,28.0,0.3,0.0,,0.2
Beef Products,"Beef, New Zealand, imported, variety meats and by-products, liver, raw",0.3,0.0,,,0.8,,0.0,,,,0.0,,1.1,0.9,0.6,0.6,0.8,0.1,0.6,0.8,0.0,0.0,2.1,0.5,0.7,0.1,0.4,1.5,0.2,0.0,0.3,0.7,0.0,0.8,0.5,37.8,0.3,0.0,,0.2
Beef Products,"Beef, New Zealand, imported, variety meats and by-products, kidney, cooked, boiled",0.3,0.0,,,3.3,,0.1,,,,0.0,,1.4,0.6,0.8,0.8,1.0,0.1,0.9,0.2,0.0,0.0,0.6,0.6,0.6,0.0,0.5,1.8,1.5,0.1,0.4,0.9,0.0,1.0,0.7,0.1,0.1,0.0,,0.2
Beef Products,"Beef, variety meats and by-products, pancreas, cooked, braised",0.3,0.0,,,0.9,,0.1,,,,0.0,0.0,0.8,0.3,1.0,0.8,1.0,0.1,0.5,0.2,0.2,0.0,0.8,0.6,0.8,0.1,0.5,0.3,0.7,0.0,0.2,1.2,0.2,1.3,0.8,0.0,0.1,0.2,,0.3
Beef Products,"Beef, cured, breakfast strips, cooked",0.3,0.0,,,0.4,0.3,0.2,,,,0.0,0.0,1.4,0.3,1.0,0.8,1.1,0.1,0.7,0.4,0.2,0.1,0.1,0.6,0.4,0.1,0.5,0.2,0.4,0.9,0.1,1.1,0.3,1.0,0.8,0.0,0.2,0.0,0.0,0.5
Beef Products,"Beef, New Zealand, imported, variety meats and by-products, heart, cooked, boiled",0.3,0.0,,,0.7,,0.1,,,,0.0,,1.6,0.8,0.9,0.9,1.2,0.1,1.0,0.2,0.1,0.0,0.2,0.7,0.5,0.1,0.5,0.6,0.2,0.0,0.2,1.1,0.1,1.2,0.8,0.0,0.1,0.0,,0.2
Beef Products,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, select, cooked, grilled",0.3,0.0,,,0.3,0.2,0.1,,,,0.0,0.0,1.8,0.6,1.1,1.1,1.6,0.1,0.9,0.3,0.1,0.0,0.3,0.8,0.4,0.1,0.5,0.5,0.5,0.0,0.1,1.5,0.2,1.3,0.9,0.0,0.3,0.0,0.0,0.5
Beef Products,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, all grades, cooked, grilled",0.3,0.0,,,0.3,0.2,0.1,,,,0.0,0.0,1.6,0.6,1.0,1.0,1.4,0.1,0.8,0.3,0.1,0.0,0.3,0.7,0.3,0.1,0.5,0.5,0.5,0.0,0.1,1.4,0.2,1.2,0.8,0.0,0.3,0.0,0.0,0.5
Beef Products,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, select, cooked, grilled",0.3,0.0,,,0.3,0.2,0.1,,,,0.0,0.0,1.6,0.6,0.9,0.9,1.3,0.1,0.7,0.3,0.1,0.0,0.3,0.7,0.4,0.1,0.5,0.5,0.5,0.0,0.1,1.3,0.2,1.1,0.8,0.0,0.3,0.0,0.0,0.5
Beef Products,"Beef, plate steak, boneless, outside skirt, separable lean only, trimmed to 0"" fat, choice, cooked, grilled",0.3,0.0,,,0.3,0.2,0.1,,,,0.0,0.0,1.5,0.6,0.9,0.9,1.3,0.1,0.7,0.3,0.1,0.0,0.3,0.6,0.3,0.1,0.5,0.5,0.5,0.0,0.1,1.3,0.2,1.1,0.8,0.0,0.3,0.0,0.0,0.5
Beef Products,"Beef, variety meats and by-products, spleen, cooked, braised",0.3,0.0,,,1.2,,0.1,,,,0.0,0.0,1.3,4.4,0.7,0.8,0.9,0.1,0.4,0.3,0.0,0.0,0.2,0.6,0.6,0.1,0.4,0.2,1.3,0.0,0.0,0.9,0.0,0.9,0.8,0.0,0.0,0.5,,0.2
Beef Products,"Beef, plate steak, boneless, outside skirt, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled",0.3,0.0,,,0.3,0.2,0.1,,,,0.0,0.0,1.4,0.6,0.9,0.9,1.2,0.1,0.7,0.3,0.1,0.0,0.3,0.6,0.3,0.1,0.5,0.5,0.5,0.0,0.1,1.2,0.2,1.1,0.7,0.0,0.3,0.0,0.0,0.5
Cereal Grains and Pasta,"Wheat germ, crude",0.4,0.0,,,0.0,,0.1,,,,0.5,0.8,0.9,0.7,0.6,0.6,0.7,0.7,0.4,0.4,0.7,0.2,0.5,0.5,1.5,0.3,0.4,0.3,1.1,0.0,1.7,0.9,0.1,1.1,0.7,0.0,0.8,0.0,,0.9
Cereal Grains and Pasta,"Rice bran, crude",0.3,0.1,,,0.0,0.1,0.1,,,,0.8,0.2,0.5,2.1,0.4,0.4,0.3,2.2,0.3,1.8,0.9,0.1,1.5,0.4,3.0,0.4,0.2,0.2,0.2,0.0,2.5,0.5,0.2,0.4,0.5,0.0,2.4,0.0,0.0,0.4
Cereal Grains and Pasta,"Wheat bran, crude",0.3,0.1,,,0.0,0.2,0.1,,,,1.7,0.2,0.6,1.2,0.3,0.3,0.3,1.7,0.2,0.7,0.3,0.0,0.4,0.3,1.8,0.3,0.3,0.4,1.1,0.0,0.5,0.5,0.0,1.0,0.4,0.0,0.8,0.0,0.0,0.5
Cereal Grains and Pasta,"Oat bran, raw",0.2,0.1,,,0.0,0.1,0.1,,,,0.6,0.1,0.6,0.6,0.5,0.5,0.4,0.7,0.3,0.1,0.3,0.0,0.3,0.5,1.3,0.2,0.3,0.1,0.6,0.0,1.0,0.5,0.1,1.2,0.5,0.0,0.1,0.0,0.0,0.2
Cereal Grains and Pasta,"Noodles, egg, spinach, enriched, dry",0.2,0.1,,,0.3,,0.1,,,,0.3,0.7,0.4,0.5,0.5,0.4,0.2,0.2,0.3,0.4,0.1,0.0,0.2,0.4,0.4,0.1,0.3,0.3,,0.0,1.0,0.4,0.0,0.7,0.4,,0.2,0.0,,0.1
Cereal Grains and Pasta,Oats (Includes foods for USDA's Food Distribution Program),0.2,0.1,,,0.0,,0.1,,,,0.4,0.2,0.6,0.5,0.5,0.5,0.3,0.5,0.3,0.1,0.3,0.0,0.3,0.5,1.0,0.1,0.3,0.1,,0.0,0.7,0.5,0.1,0.8,0.5,0.0,0.1,0.0,,0.3
Cereal Grains and Pasta,"Spaghetti, protein-fortified, dry, enriched (n x 6.25)",0.2,0.0,,,0.0,,0.1,,,,0.1,0.8,0.6,0.5,0.6,0.5,0.2,0.2,0.3,0.4,0.1,0.0,0.1,0.5,0.3,0.1,0.4,0.3,,0.0,1.1,0.5,0.0,0.9,0.5,0.0,0.1,0.0,,0.1
