category,food,score,"Calcium, Ca","Carotene, beta","Choline, total","Fiber, total dietary","Folate, total","Iron, Fe","Magnesium, Mg",Niacin,Pantothenic acid,"Phosphorus, P","Potassium, K",Protein,Riboflavin,"Selenium, Se","Sodium, Na",Thiamin,"Vitamin A, RAE",Vitamin B-6,"Vitamin C, total ascorbic acid",Vitamin K (phylloquinone),"Zinc, Zn"
Cereal Grains and Pasta,"Wheat, KAMUT khorasan, cooked",2.521,0.947,,,17.200,3.143,9.778,13.714,12.473,,26.727,4.686,9.828,1.875,45.571,0.333,8.482,,4.118,,,10.278
Cereal Grains and Pasta,"Corn flour, whole-grain, blue (harina de maiz morado)",1.994,0.526,,,33.600,,9.667,31.429,14.069,11.000,47.818,10.886,15.060,14.375,3.143,0.208,14.286,,27.647,,,12.512
Cereal Grains and Pasta,"Amaranth grain, cooked",1.963,4.947,,,8.400,6.286,11.667,18.571,1.272,,26.909,3.857,6.540,1.375,7.857,0.250,1.339,,6.647,,,4.804
Cereal Grains and Pasta,"Rice, brown, parboiled, cooked, UNCLE BENS",1.225,0.316,,1.100,6.800,1.143,2.944,11.143,10.298,5.500,17.455,1.743,5.318,4.375,13.429,0.167,8.661,,6.471,,0.571,4.301
Cereal Grains and Pasta,"Rice, white, steamed, Chinese restaurant",1.019,0.526,,,3.600,1.429,2.167,1.429,3.063,,6.000,0.571,5.508,0.938,,0.208,1.429,,1.294,,,3.798
Cereal Grains and Pasta,Barley malt flour,1.009,3.895,0.122,,28.400,10.857,26.167,27.714,30.498,11.540,55.091,6.400,17.694,19.250,53.857,0.458,27.589,0.133,38.529,0.545,3.143,11.507
Cereal Grains and Pasta,"Cornmeal, whole-grain, yellow",0.196,0.632,1.078,5.400,29.200,7.143,19.167,36.286,19.654,8.500,43.818,8.200,13.976,12.562,22.143,1.458,34.375,1.467,17.882,0.000,0.429,10.166
Cereal Grains and Pasta,"Corn flour, whole-grain, yellow",0.189,0.737,1.078,5.400,29.200,7.143,13.222,26.571,10.281,13.160,49.455,9.000,11.928,5.000,22.000,0.208,21.964,1.467,21.765,0.000,0.429,9.663
Cereal Grains and Pasta,"Corn grain, yellow",0.187,0.737,1.078,,29.200,5.429,15.056,36.286,19.627,8.480,38.182,8.200,16.213,12.562,22.143,1.458,34.375,1.467,36.588,0.000,0.429,12.345
Cereal Grains and Pasta,"Wheat, sprouted",0.174,2.947,,,4.400,10.857,11.889,23.429,16.705,18.940,36.364,4.829,12.892,9.688,60.714,0.667,20.089,0.000,15.588,2.364,,9.217
Cereal Grains and Pasta,"Sorghum flour, whole-grain",0.172,1.263,,,26.400,7.143,17.444,35.143,24.329,10.780,50.545,9.257,14.509,3.812,17.429,0.125,29.375,0.000,19.118,0.727,9.143,9.105
Cereal Grains and Pasta,"Barley, hulled",0.171,3.474,0.144,,69.200,5.429,20.000,38.000,24.913,5.640,48.000,12.914,21.480,17.812,53.857,0.500,57.679,0.133,18.706,0.000,3.143,15.473
Cereal Grains and Pasta,Millet flour,0.166,1.474,,,14.000,12.000,21.889,34.000,32.576,25.340,51.818,6.400,18.503,4.562,46.714,0.167,36.875,,21.882,0.000,1.143,14.691
Cereal Grains and Pasta,"Spaghetti, spinach, cooked",0.161,3.158,,,,3.429,5.778,17.714,8.279,3.660,19.636,1.657,7.883,6.437,31.571,0.583,8.661,1.067,5.647,0.000,,6.033
Cereal Grains and Pasta,"Rye flour, dark",0.161,3.895,0.078,7.600,95.200,9.429,27.611,45.714,23.106,29.120,90.727,20.486,27.384,15.688,25.714,0.083,28.214,0.133,26.059,0.000,8.429,28.152
Cereal Grains and Pasta,Rye grain,0.161,2.526,0.078,7.600,60.400,10.857,14.611,31.429,23.106,29.120,60.364,14.571,17.797,15.688,19.857,0.083,28.214,0.133,17.294,0.000,8.429,14.802
Cereal Grains and Pasta,"Rice flour, brown",0.153,1.158,,,18.400,4.571,11.000,32.000,34.307,31.820,61.273,8.257,12.444,5.000,,0.333,39.554,,43.294,0.000,,13.685
Cereal Grains and Pasta,"Teff, cooked",0.143,5.158,,,11.200,5.143,11.389,14.286,4.919,,21.818,3.057,6.661,2.062,,0.333,16.339,0.000,5.706,,,6.200
Cereal Grains and Pasta,"Pasta, gluten-free, corn and rice flour, cooked",0.094,0.211,0.356,0.425,5.600,1.143,1.222,3.143,1.299,2.800,6.000,0.686,5.508,4.938,3.143,0.167,4.464,0.533,2.176,0.000,0.000,1.508
Cereal Grains and Pasta,"Wheat flour, whole-grain, soft wheat",0.094,3.474,0.056,7.800,52.400,8.000,20.611,33.429,28.934,20.220,58.727,11.257,16.540,11.750,18.143,0.125,26.518,0.000,11.235,0.000,2.714,16.534
Cereal Grains and Pasta,"Barley, pearled, cooked",0.092,1.158,0.056,3.350,15.200,4.571,7.389,6.286,11.163,2.700,9.818,2.657,3.890,3.875,12.286,0.125,7.411,0.000,6.765,0.000,1.143,4.580
Cereal Grains and Pasta,"Wheat flour, whole-grain (Includes foods for USDA's Food Distribution Program)",0.092,3.579,0.056,7.800,42.800,12.571,20.000,39.143,26.824,12.060,64.909,10.371,22.737,10.312,88.286,0.083,44.821,0.000,23.941,0.000,2.714,14.523
Cereal Grains and Pasta,"Wheat, hard red winter",0.092,3.053,0.056,7.800,48.800,10.857,17.722,36.000,29.567,19.080,52.364,10.371,21.704,7.188,101.000,0.083,34.196,0.000,17.647,0.000,2.714,14.802
Cereal Grains and Pasta,"Wheat, hard red spring",0.092,2.632,0.056,7.800,48.800,12.286,20.000,35.429,30.898,18.700,60.364,9.714,26.506,6.875,101.000,0.083,45.000,0.000,19.765,0.000,2.714,15.529
Cereal Grains and Pasta,"Pasta, whole-wheat, cooked (Includes foods for USDA's Food Distribution Program)",0.087,1.368,0.022,1.625,15.600,6.000,9.556,15.429,16.916,5.360,23.091,2.743,10.310,6.188,51.857,0.167,13.929,0.000,5.471,0.000,0.857,7.485
Cereal Grains and Pasta,"Pasta, gluten-free, corn flour and quinoa flour, cooked, ANCIENT HARVEST",0.087,0.737,0.033,1.450,13.200,2.286,4.000,11.714,2.435,4.200,16.545,1.800,5.559,5.812,3.143,0.167,10.714,0.133,2.941,0.000,0.000,3.910
Cereal Grains and Pasta,"Wild rice, cooked",0.085,0.316,0.022,2.550,7.200,7.429,3.333,9.143,6.964,3.080,14.909,2.886,6.867,5.437,1.143,0.125,4.643,0.000,7.941,0.000,0.714,7.485
Cereal Grains and Pasta,Sorghum grain,0.085,1.368,,,26.800,5.714,18.667,47.143,19.957,7.340,52.545,10.371,18.279,6.000,17.429,0.083,29.643,0.000,26.059,0.000,,9.328
Cereal Grains and Pasta,"Millet, cooked",0.084,0.316,0.022,2.800,5.200,5.429,3.500,12.571,7.197,3.420,18.182,1.771,6.041,5.125,1.286,0.083,9.464,0.000,6.353,0.000,0.429,5.083
Cereal Grains and Pasta,"Wheat, soft white",0.084,3.579,0.056,,50.800,11.714,29.833,25.714,25.790,17.000,73.091,12.429,18.399,6.687,,0.083,36.607,0.000,22.235,0.000,2.714,19.327
Fats and Oils,"Shortening, vegetable, household, composite",0.016,0.105,0.000,0.050,0.000,0.000,0.389,0.000,0.000,13.600,0.000,0.000,0.000,0.000,0.000,0.167,1.786,0.000,0.059,0.000,76.000,0.000
Fats and Oils,"Oil, industrial, coconut (hydrogenated), used for whipped toppings and coffee whiteners",0.015,0.105,0.000,0.075,0.000,0.000,0.833,0.000,0.000,0.000,0.000,0.057,0.000,0.000,0.000,0.292,0.000,0.000,0.000,0.000,0.714,0.223
Fats and Oils,"Oil, industrial, palm kernel (hydrogenated) , used for whipped toppings, non-dairy",0.014,0.105,0.000,0.050,0.000,0.000,0.833,0.000,0.000,0.000,0.000,0.057,0.000,0.000,0.000,0.250,0.000,0.000,0.000,0.000,35.286,0.223
Fats and Oils,"Oil, flaxseed, cold pressed",0.014,0.105,0.000,0.050,0.000,0.000,0.000,0.000,0.000,,0.182,0.000,0.189,0.000,0.000,0.000,0.000,0.000,0.000,0.000,13.286,0.391
Fats and Oils,"Oil, olive, salad or cooking",0.013,0.105,0.000,0.075,0.000,0.000,3.111,0.000,0.000,0.000,0.000,0.029,0.000,0.000,0.000,0.083,0.000,0.000,0.000,0.000,86.000,0.000
Fats and Oils,"Oil, coconut",0.013,0.105,0.000,0.075,0.000,0.000,0.278,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.857,0.112
Fats and Oils,"Oil, industrial, soy, low linolenic",0.012,0.000,0.000,0.050,0.000,0.000,0.278,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,262.714,0.056
Fats and Oils,"Oil, industrial, soy, ultra low linolenic",0.012,0.000,0.000,0.050,0.000,0.000,0.278,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,262.714,0.056
Fats and Oils,"Oil, industrial, soy, fully hydrogenated",0.012,0.000,0.000,0.050,0.000,0.000,0.278,0.000,0.000,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,262.714,0.056
Fats and Oils,"Oil, corn, peanut, and olive",0.012,0.000,0.000,0.050,0.000,0.000,0.722,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,30.000,0.112
Fats and Oils,"Oil, soybean, salad or cooking",0.012,0.000,0.000,0.050,0.000,0.000,0.278,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,262.714,0.056
Fats and Oils,"Oil, peanut, salad or cooking",0.012,0.000,0.000,0.025,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.056
Fats and Oils,"Oil, industrial, coconut, principal uses candy coatings, oil sprays, roasting nuts",0.012,0.000,0.000,0.075,0.000,0.000,0.222,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.714,0.000
Fats and Oils,"Oil, industrial, mid-oleic, sunflower",0.012,0.000,0.000,0.050,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.714,0.000
Fats and Oils,"Oil, vegetable, soybean, refined",0.012,0.000,0.000,0.050,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,262.714,0.000
Fats and Oils,"Oil, industrial, soy, refined, for woks and light frying",0.012,0.000,0.000,0.050,0.000,0.000,0.111,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,262.714,0.000
Fats and Oils,"Oil, palm",0.011,0.000,0.000,0.075,0.000,0.000,0.056,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,11.429,0.000
Fats and Oils,"Oil, PAM cooking spray, original",0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.448,0.000,0.000,2.458,0.000,0.000,0.000,0.000,0.000,0.000
Fats and Oils,"Oil, sunflower, linoleic (less than 60%)",0.011,0.000,0.000,,0.000,0.000,0.167,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.714,0.000
Fats and Oils,"Oil, soybean lecithin",0.011,0.000,0.000,87.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,262.714,0.000
